clinic_id,clinic_name
11000,Riverside Pediatrics
11001,PRIME - DALLAS PHYSICIANS MED GROUP
11002,Barbara S Rickards DPM
11008,Gynecology Today PLLC
11010,"Eric Frechette, MD"
11015,MCA
11016,St Marys/St Joseph
11022,Family Healthcare Of Fairfax PC
11027,Bee Caves Pediatrics
11031,SAN DIEGO PODIATRY GROUP
11034,"Lanza's Medical Center, LLC"
11036,"Jerry W. Miller, MD, PA"
11041,"Cardiacare Center, P.C. / Medical Specialties of New Jersey"
11042,Neptune Adult Medicine
11045,STOWE NATURAL FAMILY WELLNESS PLLC
11046,Foot and Ankle Health Centers
11049,Geriatric & Family Care Center of South Florida
11052,MS and Neuromuscular Center of Excellence Dr. Schneider
11053,Alkarim Medical Clinic
11057,"EYE CARE CENTER OF KAUAI, INC."
11058,Olde Towne Pediatrics
11061,"Restoration Healthcare, Inc."
11064,"Dr. Walter M. Snihurowych, MD"
11065,Peter Ramzy MD PLLC
11067,"The Bailey Medical Group, P.C."
11071,Center For Womens Health
11076,The Healthy Woman
11084,Nash OB-GYN Associates PA
11085,Northwest  Urology
11087,Access Physicians Telemedicine
11094,Benjamin N Mena MD PA
11095,"Alex J. Urteaga DPM, PA DBA Foot &"
11102,"DM Foot And Ankle Associates, LLC"
11105,
11111,Heart Associate of Hilton Head PC
11114,Anthem-Epoch Southern Arizona
11123,Catalyst Walk-In Clinic
11124,McLean County Foot and Ankle
11126,FRIENDLY FOOT CARE
11128,Mount Carmel
11129,Rancho Family Medical Group
11132,"Memorial Podiatry, PLLC"
11136,"Richmond Spine Interventions & Pain Center, PC"
11137,South River Internal Medicine
11138,Dominion Cardiovascular Associates
11141,Agape Family Healthcare LLC
11145,Spencer Wellness Centre
11153,Restoring Health Clinic
11154,Diabetic Eye DC
11161,Missouri Foot & Ankle
11162,Elderhealth & Living Corporation
11166,North Haven Medical Clinic
11169,Clark Heart and Vascular Center
11172,Mary-Anne Ost MD
11173,Wolfsdorf Raszynski Sussmane MD PA
11179,ATX Orthopedics
11181,"Rosita Villanueva, M.D."
11182,AIM Primary Care
